id,neighbourhood
73282,Sihlfeld
143821,Alt-Wiedikon
178448,Enge
227039,Escher Wyss
283737,Rathaus
292351,Hard
310964,Hochschulen
577683,Höngg
610348,Oerlikon
620130,Wipkingen
644888,Sihlfeld
706972,Wipkingen
706997,Wipkingen
743035,Friesenberg
751660,Sihlfeld
815055,Wollishofen
816887,Wollishofen
898829,Seebach
946104,Alt-Wiedikon
1002219,Hottingen
1028631,Werd
1358424,Mühlebach
1478873,Enge
1528138,Unterstrass
1566319,Weinegg
1599790,Oerlikon
1637876,Fluntern
1638930,Gewerbeschule
1738497,Langstrasse
1834747,Lindenhof
1859135,Fluntern
1876794,Hottingen
1880893,Hochschulen
1888122,Mühlebach
1944658,Unterstrass
1957786,Langstrasse
1962016,Altstetten
1982405,Wipkingen
1992345,Wollishofen
2004128,Werd
2021797,Alt-Wiedikon
2045519,Hottingen
2049847,Hottingen
2055920,Gewerbeschule
2073042,Hottingen
2082084,Alt-Wiedikon
2470664,Rathaus
2579889,Alt-Wiedikon
2668952,Lindenhof
2679799,Wollishofen
2759581,Rathaus
2785626,Escher Wyss
2836559,Lindenhof
2869081,Altstetten
2869105,Altstetten
2869130,Altstetten
2920505,Rathaus
2920543,Rathaus
2920590,Mühlebach
2920698,Rathaus
2920742,Rathaus
2920780,Rathaus
2920806,Rathaus
2962635,Rathaus
3209659,Altstetten
3470221,Mühlebach
3470708,Mühlebach
3483175,Mühlebach
3487718,Mühlebach
3631629,Mühlebach
3673115,Langstrasse
3680581,Seefeld
3681861,Hottingen
3682024,Hottingen
3682156,Hottingen
3683319,Weinegg
3813905,Altstetten
3814983,Weinegg
3857206,Alt-Wiedikon
3872298,Altstetten
3890636,Hard
3941358,Mühlebach
4145732,Hard
4195239,Hirslanden
4201898,Hirslanden
4202724,Seefeld
4222482,Seefeld
4222657,Seefeld
4222997,Unterstrass
4246456,Rathaus
4281532,Seefeld
4290893,Unterstrass
4298448,Hottingen
4298896,Hottingen
4315829,Witikon
4368558,Hard
4381761,Langstrasse
4413887,Seefeld
4425602,Altstetten
4425760,Unterstrass
4460481,Altstetten
4544512,Seefeld
4666089,Gewerbeschule
4666318,Alt-Wiedikon
4748384,Unterstrass
4796892,Rathaus
4797373,Rathaus
4850468,Seebach
4921250,Unterstrass
5000434,Affoltern
5055921,Seefeld
5081849,Langstrasse
5168505,Witikon
5172569,Affoltern
5208392,Unterstrass
5209282,Rathaus
5210463,Seefeld
5267443,Werd
5349018,Mühlebach
5349345,Mühlebach
5350564,Hirslanden
5350881,Hirslanden
5352022,Höngg
5378507,Oerlikon
5483148,Rathaus
5553853,Rathaus
5609431,Alt-Wiedikon
5687423,Rathaus
5744466,Seebach
6007128,Oerlikon
6080762,Hirzenbach
6099740,Mühlebach
6203434,Rathaus
6293591,Alt-Wiedikon
6534203,Affoltern
6590086,Altstetten
6641620,Escher Wyss
6669104,Mühlebach
6752793,Fluntern
6857376,Hard
6858968,Mühlebach
6862908,Rathaus
6996487,Oberstrass
7232723,Hochschulen
7551201,Mühlebach
7589458,Oerlikon
7599396,Hard
7613086,Oerlikon
7646490,Altstetten
7673299,Altstetten
7673510,Altstetten
7726353,Escher Wyss
7737458,Fluntern
7739547,Fluntern
7741739,Hard
7746167,Sihlfeld
7756218,Fluntern
7841685,Rathaus
8093940,Fluntern
8094116,Fluntern
8158459,Rathaus
8160075,Seefeld
8169064,Witikon
8263299,Witikon
8271883,Oerlikon
8332340,Altstetten
8332432,Altstetten
8370018,City
8388173,Sihlfeld
8392091,Hard
8397025,Escher Wyss
8476758,Werd
8627237,Affoltern
8658138,Mühlebach
8658489,Mühlebach
8658898,Rathaus
8708068,Escher Wyss
8915577,Seefeld
8926048,Sihlfeld
8971198,Rathaus
9005395,Alt-Wiedikon
9067422,Mühlebach
9132333,Seefeld
9229424,Fluntern
9243499,Mühlebach
9244524,Langstrasse
9245092,Langstrasse
9245379,Langstrasse
9248507,Langstrasse
9248717,Langstrasse
9285611,Rathaus
9299992,Oberstrass
9357495,Langstrasse
9481082,Oberstrass
9519509,Fluntern
9520586,Fluntern
9526343,Unterstrass
9590886,Wipkingen
9598058,Höngg
9781471,Rathaus
9783843,Seefeld
9785013,City
9892141,Rathaus
9929768,Oerlikon
10005298,Oerlikon
10006040,Oerlikon
10006714,Oerlikon
10044960,Lindenhof
10095770,Sihlfeld
10121853,Wipkingen
10201982,Altstetten
10382963,Rathaus
10418945,Enge
10506470,Seefeld
10701017,Wollishofen
10704449,Unterstrass
10720130,Fluntern
10762056,Rathaus
10871301,Seefeld
10892010,Oerlikon
10973187,Gewerbeschule
11015954,Gewerbeschule
11075723,Seefeld
11128754,Langstrasse
11221242,Seefeld
11266276,Affoltern
11307775,Altstetten
11334434,Affoltern
11597416,Rathaus
11798707,Hirzenbach
11949543,Gewerbeschule
11977829,Oerlikon
12242242,Wipkingen
12316807,Sihlfeld
12469141,Oerlikon
12617563,Wollishofen
12659155,Sihlfeld
12664810,Unterstrass
12786627,Hard
12819700,Enge
12844495,Affoltern
12860185,Lindenhof
13060550,Wipkingen
13071400,Sihlfeld
13078820,Weinegg
13138331,Unterstrass
13163060,Lindenhof
13307128,Rathaus
13353575,Enge
13432999,Lindenhof
13514089,City
13517210,Rathaus
13656976,Unterstrass
13720909,Affoltern
13738654,Seefeld
13738854,Seefeld
13740005,Enge
13754939,Wipkingen
13760278,Seefeld
13821357,Sihlfeld
13879118,Gewerbeschule
13895923,Langstrasse
13907213,Enge
13927064,Escher Wyss
13980689,Rathaus
14113525,Enge
14165529,Hirzenbach
14171312,Alt-Wiedikon
14437525,Alt-Wiedikon
14477404,Langstrasse
14497537,Seefeld
14497922,Altstetten
14652186,Wipkingen
14659604,Oberstrass
14766973,Seefeld
14781925,Höngg
14784853,Oberstrass
14823254,Oerlikon
14861181,Langstrasse
14921512,Weinegg
14924969,Seefeld
14925431,Seefeld
14998360,Sihlfeld
15113006,Seefeld
15172572,Alt-Wiedikon
15250857,Alt-Wiedikon
15253929,Wipkingen
15341716,Langstrasse
15363618,Oberstrass
15372451,Langstrasse
15381261,Enge
15450893,Hard
15519676,Alt-Wiedikon
15525696,Escher Wyss
15527370,Escher Wyss
15541196,Seebach
15578517,Escher Wyss
15596713,Langstrasse
15596845,Langstrasse
15596933,Langstrasse
15597068,Langstrasse
15645106,Werd
15653745,Oerlikon
15654684,Oerlikon
15654860,Oerlikon
15672243,Oerlikon
15672687,Oerlikon
15673613,Oerlikon
15673758,Oerlikon
15673943,Oerlikon
15674116,Oerlikon
15674393,Oerlikon
15712965,Altstetten
15724194,Wollishofen
15765855,Altstetten
15780649,Altstetten
15780767,Altstetten
15781029,Altstetten
15782017,Hard
15796209,Escher Wyss
15796740,Altstetten
15796875,Altstetten
15797256,Altstetten
15797502,Altstetten
15853113,Oerlikon
15862347,Wipkingen
15863621,Saatlen
15879427,Alt-Wiedikon
15946738,Oberstrass
16046971,Enge
16145275,Höngg
16238364,Wipkingen
16263857,Rathaus
16329215,Wollishofen
16390223,Witikon
16435353,Höngg
16611283,Werd
16735328,Oberstrass
16791727,Langstrasse
16819240,Weinegg
16887683,Albisrieden
16938543,Escher Wyss
16940188,Leimbach
17023300,Fluntern
17083952,Enge
17094910,Altstetten
17138503,Alt-Wiedikon
17261980,Mühlebach
17267151,Wollishofen
17428463,Alt-Wiedikon
17471935,Sihlfeld
17486280,Enge
17506390,Rathaus
17529228,Sihlfeld
17603397,Saatlen
17646972,Enge
17648054,Alt-Wiedikon
17705224,Gewerbeschule
17706352,Weinegg
17739331,Rathaus
17854285,Rathaus
17915734,Alt-Wiedikon
17918837,Oerlikon
17954448,Hochschulen
17960665,Rathaus
17969667,Mühlebach
18031424,Höngg
18165560,Hard
18178310,Sihlfeld
18233101,Hard
