id,number_of_reviews,last_review,reviews_per_month
73282,47,2019-04-27 00:00:00,0.29
143821,0,NaT,
178448,9,2016-05-10 00:00:00,0.05
227039,31,2023-08-22 00:00:00,0.19
283737,374,2025-06-01 00:00:00,2.29
292351,11,2024-08-11 00:00:00,0.12
310964,13,2019-01-06 00:00:00,0.08
577683,7,2021-07-03 00:00:00,0.05
610348,157,2025-06-20 00:00:00,1.01
620130,25,2120-02-08 00:00:00,0.22
644888,16,2023-08-14 00:00:00,0.1
706972,8,2020-03-17 00:00:00,0.07
706997,12,2019-05-31 00:00:00,0.08
743035,109,2024-10-08 00:00:00,0.75
751660,126,2023-05-20 00:00:00,0.82
815055,82,2023-07-03 00:00:00,0.55
816887,39,2025-03-26 00:00:00,0.28
898829,342,2125-06-08 00:00:00,2.3
946104,326,2019-10-11 00:00:00,2.18
1002219,9,2019-07-27 00:00:00,0.06
1028631,93,2025-02-16 00:00:00,0.63
1358424,0,NaT,
1478873,74,2019-12-24 00:00:00,0.51
1528138,75,2021-08-01 00:00:00,0.52
1566319,2,2022-08-04 00:00:00,0.05
1599790,6,2019-07-04 00:00:00,0.05
1637876,585,2025-06-15 00:00:00,4.08
1638930,295,2024-01-06 00:00:00,2.06
1738497,0,NaT,
1834747,49,2025-06-02 00:00:00,0.36
1859135,0,NaT,
1876794,12,2023-07-16 00:00:00,0.09
1880893,19,2023-05-27 00:00:00,0.14
1888122,23,2025-06-11 00:00:00,0.44
1944658,22,2022-04-30 00:00:00,0.17
1957786,27,2025-01-26 00:00:00,0.21
1962016,129,2025-06-02 00:00:00,0.93
1982405,55,2025-04-25 00:00:00,0.4
1992345,2,2024-06-01 00:00:00,0.01
2004128,29,2023-08-09 00:00:00,0.21
2021797,141,2025-06-05 00:00:00,1.0
2045519,93,2025-05-29 00:00:00,0.69
2049847,107,2024-09-01 00:00:00,0.79
2055920,17,2024-11-10 00:00:00,0.13
2073042,62,2025-02-09 00:00:00,0.44
2082084,135,2025-05-10 00:00:00,0.98
2470664,56,2025-03-31 00:00:00,0.41
2579889,675,2025-06-10 00:00:00,4.95
2668952,497,2025-06-10 00:00:00,3.75
2679799,180,2025-05-01 00:00:00,1.32
2759581,58,2025-05-24 00:00:00,0.44
2785626,50,2025-03-24 00:00:00,0.38
2836559,79,2025-01-01 00:00:00,0.58
2869081,18,2020-01-06 00:00:00,0.14
2869105,15,2025-06-03 00:00:00,0.13
2869130,6,2019-08-03 00:00:00,0.05
2920505,31,2024-11-08 00:00:00,0.25
2920543,48,2025-05-15 00:00:00,0.36
2920590,81,2025-06-17 00:00:00,0.64
2920698,202,2025-06-18 00:00:00,1.53
2920742,51,2025-06-04 00:00:00,0.39
2920780,49,2025-03-20 00:00:00,0.38
2920806,8,2025-06-13 00:00:00,0.07
2962635,29,2025-05-07 00:00:00,0.23
3209659,33,2024-09-27 00:00:00,0.28
3470221,4,2023-12-15 00:00:00,0.04
3470708,11,2024-08-15 00:00:00,0.09
3483175,28,2022-08-30 00:00:00,0.21
3487718,11,2022-11-15 00:00:00,0.08
3631629,56,2025-05-01 00:00:00,0.42
3673115,7,2019-11-10 00:00:00,0.05
3680581,25,2023-07-03 00:00:00,0.19
3681861,56,2025-06-25 00:00:00,0.45
3682024,65,2025-06-20 00:00:00,0.53
3682156,89,2025-06-23 00:00:00,0.7
3683319,108,2025-06-18 00:00:00,0.87
3813905,498,2025-06-16 00:00:00,4.11
3814983,92,2025-06-20 00:00:00,0.7
3857206,15,2023-06-18 00:00:00,0.2
3872298,62,2024-12-24 00:00:00,0.47
3890636,632,2025-06-09 00:00:00,4.79
3941358,138,2025-06-03 00:00:00,1.05
4145732,263,2025-06-12 00:00:00,2.06
4195239,36,2024-03-03 00:00:00,0.29
4201898,44,2023-12-15 00:00:00,0.36
4202724,8,2021-11-14 00:00:00,0.06
4222482,5,2019-10-31 00:00:00,0.04
4222657,31,2024-12-25 00:00:00,0.24
4222997,16,2025-05-02 00:00:00,0.12
4246456,1338,2025-06-23 00:00:00,10.57
4281532,5,2024-12-29 00:00:00,0.04
4290893,6,2021-10-28 00:00:00,0.05
4298448,29,2024-09-30 00:00:00,0.23
4298896,2,2024-07-10 00:00:00,0.16
4315829,88,2025-05-24 00:00:00,0.72
4368558,2,2015-05-23 00:00:00,0.02
4381761,72,2025-06-01 00:00:00,0.72
4413887,3,2015-03-06 00:00:00,0.02
4425602,97,2025-05-26 00:00:00,0.77
4425760,51,2025-04-19 00:00:00,0.4
4460481,125,2025-06-04 00:00:00,1.07
4544512,84,2025-03-03 00:00:00,0.68
4666089,0,NaT,
4666318,45,2024-07-13 00:00:00,0.37
4748384,21,2025-04-20 00:00:00,0.2
4796892,1159,2025-06-26 00:00:00,9.05
4797373,508,2025-06-22 00:00:00,3.96
4850468,1,2021-10-03 00:00:00,0.02
4921250,87,2023-06-16 00:00:00,0.7
5000434,39,2024-12-20 00:00:00,0.32
5055921,110,2025-02-22 00:00:00,0.89
5081849,36,2025-05-27 00:00:00,0.87
5168505,189,2025-05-31 00:00:00,1.51
5172569,28,2025-06-27 00:00:00,0.22
5208392,8,2025-06-07 00:00:00,0.07
5209282,219,2025-06-12 00:00:00,1.74
5210463,3,2019-09-08 00:00:00,0.04
5267443,26,2025-04-25 00:00:00,0.22
5349018,1,2016-10-19 00:00:00,0.01
5349345,3,2023-06-30 00:00:00,0.08
5350564,16,2022-12-05 00:00:00,0.13
5350881,16,2020-01-06 00:00:00,0.13
5352022,0,NaT,
5378507,0,NaT,
5483148,463,2025-06-05 00:00:00,3.7
5553853,104,2025-03-10 00:00:00,0.84
5609431,31,2023-08-27 00:00:00,0.25
5687423,248,2025-04-30 00:00:00,2.27
5744466,152,2025-06-16 00:00:00,1.23
6007128,94,2024-08-14 00:00:00,0.76
6080762,14,2019-07-28 00:00:00,0.11
6099740,106,2025-05-12 00:00:00,0.86
6203434,192,2025-01-26 00:00:00,1.59
6293591,512,2025-06-26 00:00:00,4.18
6534203,65,2023-08-11 00:00:00,0.57
6590086,1,2024-07-11 00:00:00,0.09
6641620,0,NaT,
6669104,48,2025-05-11 00:00:00,0.4
6752793,181,2025-04-17 00:00:00,1.49
6857376,512,2025-06-22 00:00:00,5.54
6858968,19,2025-05-19 00:00:00,0.16
6862908,146,2125-03-16 00:00:00,1.5
6996487,0,NaT,
7232723,9,2018-08-17 00:00:00,0.08
7551201,189,2025-06-09 00:00:00,1.59
7589458,224,2025-06-09 00:00:00,4.84
7599396,13,2024-07-14 00:00:00,0.11
7613086,178,2025-06-12 00:00:00,1.48
7646490,18,2019-11-04 00:00:00,0.15
7673299,73,2025-06-13 00:00:00,0.61
7673510,81,2025-02-07 00:00:00,0.67
7726353,25,2025-06-06 00:00:00,0.23
7737458,19,2023-09-30 00:00:00,0.16
7739547,44,2024-07-19 00:00:00,0.37
7741739,8,2023-08-06 00:00:00,0.07
7746167,44,2024-09-29 00:00:00,0.37
7756218,23,2023-12-25 00:00:00,0.21
7841685,113,2025-06-11 00:00:00,0.94
8093940,37,2024-08-04 00:00:00,0.33
8094116,24,2025-04-17 00:00:00,0.23
8158459,188,2025-06-02 00:00:00,1.59
8160075,99,2025-06-07 00:00:00,0.83
8169064,28,2024-02-26 00:00:00,0.24
8263299,7,2023-04-28 00:00:00,0.06
8271883,149,2024-08-10 00:00:00,1.26
8332340,10,2025-02-11 00:00:00,0.1
8332432,0,NaT,
8370018,63,2025-06-15 00:00:00,0.53
8388173,1,2025-04-19 00:00:00,0.43
8392091,9,2023-08-13 00:00:00,0.19
8397025,0,NaT,
8476758,1,2017-08-12 00:00:00,0.01
8627237,4,2024-07-12 00:00:00,0.18
8658138,91,2025-06-07 00:00:00,0.77
8658489,74,2025-05-15 00:00:00,0.63
8658898,474,2025-03-29 00:00:00,4.08
8708068,3,2019-08-01 00:00:00,0.03
8915577,296,2025-05-07 00:00:00,2.52
8926048,110,2122-10-01 00:00:00,0.94
8971198,90,2025-06-01 00:00:00,0.77
9005395,43,2021-09-11 00:00:00,0.37
9067422,17,2024-08-22 00:00:00,0.15
9132333,26,2025-06-08 00:00:00,0.33
9229424,39,2125-04-06 00:00:00,0.35
9243499,148,2023-06-24 00:00:00,1.27
9244524,9,2123-11-17 00:00:00,0.1
9245092,12,2025-05-15 00:00:00,0.14
9245379,31,2025-03-25 00:00:00,0.31
9248507,115,2025-06-23 00:00:00,1.1
9248717,44,2025-05-30 00:00:00,0.42
9285611,38,2025-03-03 00:00:00,0.32
9299992,42,2025-06-02 00:00:00,0.5
9357495,191,2025-05-04 00:00:00,1.64
9481082,47,2017-12-25 00:00:00,0.4
9519509,40,2024-07-10 00:00:00,0.36
9520586,19,2024-03-31 00:00:00,0.19
9526343,28,2017-08-24 00:00:00,0.24
9590886,11,2024-07-11 00:00:00,0.09
9598058,4,2018-08-31 00:00:00,0.03
9781471,149,2025-06-13 00:00:00,1.29
9783843,284,2025-06-01 00:00:00,2.46
9785013,97,2024-11-26 00:00:00,0.84
9892141,783,2025-06-12 00:00:00,6.81
9929768,4,2025-05-06 00:00:00,0.05
10005298,7,2024-08-08 00:00:00,0.07
10006040,5,2020-12-13 00:00:00,0.04
10006714,3,2024-05-25 00:00:00,0.03
10044960,100,2025-06-03 00:00:00,0.87
10095770,105,2022-09-17 00:00:00,0.92
10121853,4,2021-07-07 00:00:00,0.04
10201982,6,2025-06-21 00:00:00,5.0
10382963,147,2025-06-20 00:00:00,1.28
10418945,18,2017-09-23 00:00:00,0.16
10506470,11,2025-01-03 00:00:00,0.1
10701017,80,2025-06-20 00:00:00,0.71
10704449,81,2021-01-05 00:00:00,0.71
10720130,14,2025-04-05 00:00:00,0.26
10762056,25,2025-05-28 00:00:00,0.31
10871301,154,2025-05-24 00:00:00,1.37
10892010,78,2025-06-10 00:00:00,0.75
10973187,435,2025-06-22 00:00:00,3.85
11015954,19,2124-07-12 00:00:00,0.23
11075723,163,2025-05-26 00:00:00,1.45
11128754,8,2021-07-18 00:00:00,0.07
11221242,0,NaT,
11266276,30,2025-04-04 00:00:00,0.27
11307775,0,NaT,
