id,name,host_id,host_name,room_type,price
73282,"Clean, central, quiet",377532,Simona,Entire home/apt,
143821,LOFT on 2 floors in Sihlcity Zürich,697307,Erhan,Entire home/apt,232
178448,"a lovely place, top location",854016,Delphine,Private room,48
227039,*Luxury Penthouse in the heart of trendy Zurich*,1184427,Lucas,Entire home/apt,500
283737,Best Location in Zurich Oldtown,1477771,Nuria,Entire home/apt,160
292351,120 sqM - 3 bedrooms + lounge in central Zurich,1513739,Anil,Entire home/apt,
310964,Large Apartment - Center of Zurich,1266114,Kim,Entire home/apt,360
577683,Garden Apartment in Zurich West with private Gym,1240329,Claudio,Entire home/apt,238
610348,"Duplex  Flat, 120 m2 7-8  persons",3026473,,Entire home/apt,236
620130,NB1: Charming 2-room apartment,3072679,Felix,Entire home/apt,185
644888,Big and bright duplex in the heart of Zurich,3228273,Violetta,Private room,90
706972,NB2: good value 1-room apartment,3072679,Felix,Entire home/apt,134
706997,NB3: Beautiful 2-bedroom apartment,3072679,Felix,Entire home/apt,165
743035,Unique Home in the midst of Nature near Zuerich,3891818,Jacqueline,Entire home/apt,250
751660,Entire flat in a trendy area,3952536,Monica,Entire home/apt,
815055,Quiet room in Zürich 5min to center,3693420,Nathalie,Private room,99
816887,Panoramic Views over Lake Zurich,1155866,Ysabel,Private room,
898829,Top modernes Gästezimmer in Zürich Seebach,4797927,Pietro,Private room,54
946104,Cozy 3- room apartment in Zürich center,5126683,Wolfgang,Entire home/apt,150
1002219,"Very central, large and luxurios",5441735,Alain,Entire home/apt,380
1028631,"Architect’s loft seen in magazines, Zurich center.",1145413,Jurgita,Entire home/apt,385
1358424,2.5 room (68m2) Rooftop Attic with lake view,1951513,Denise,Entire home/apt,
1478873,Room in Duplex Apartment,7698073,Christos,Private room,
1528138,Modern Appartement with own Garden,8152499,Fredy,Entire home/apt,-117
1566319,Big terrace apartment close to Tiefenbrunen,7090119,Raichvarg,Entire home/apt,270
1599790,room in a penthouse in Zurich,8527761,Ben,Private room,158
1637876,Spacious room near center and university,1275222,Yvonne,Private room,82
1638930,Private room in center of Zurich,8699600,Ivo,Private room,
1738497,Full apt.  in most vibrant hood,9155256,Marcin Jakub,Entire home/apt,87
1834747,Bedroom with double bed in a shared central apt,3387271,Rakesh,Private room,90
1859135,Wohnung in bester Lage Zürich,9700015,Esther,Entire home/apt,
1876794,Modern sunny Appartment,1599948,Bernd,Entire home/apt,
1880893,Sunny modern penthouse close to Bellevue/Lake,1599948,Bernd,Entire home/apt,
1888122,Cozy Studio Zürich-City! Ideal for business trips,9758486,Sandy,Entire home/apt,139
1944658,Room in apartment of a woman only for a woman,620454,Reinhard,Private room,
1957786,"modern, urban & central apartment",7561419,Tobias,Entire home/apt,
1962016,A spacious space,9175734,Roland,Private room,140
1982405,studio / home office  in a trendy quarter,5614354,Subas,Entire home/apt,87
1992345,Furnished apartment near the lake,1509492,Villa,Entire home/apt,250
2004128,Super central & cozy (+ family-friendly)!,8658139,Malin,Entire home/apt,165
2021797,Roomy well-lit Private room Heart of Zurich,10379615,Josh,Private room,60
2045519,"Groundfloor Room i/Family Home Hottingen, Kreis 7",10487269,Christine,Private room,50
2049847,"Balcony Room in FamilyHome Hottingen, Kreis 7",10487269,Christine,Private room,50
2055920,Modern 5.5 Meter Celings City Center Flat!,4387358,Mo & Angelika,Entire home/apt,404
2073042,Bedroom i/Family Home ZüriHottingen,10487269,Christine,Private room,52
2082084,Basic Well-lit Private Room Heart of Zurich,10379615,Josh,Private room,50
2470664,"Old-town, cozy 2 rooms flat, fully furnished",10651736,Alberto,Entire home/apt,140
2579889,Mi Casa es su Casa,75558392,Filipa,Entire home/apt,122
2668952,Studio mit absoluter Traumaussicht (51),13570663,Christian Robert,Entire home/apt,128
2679799,Discover Zürich & relax comfortably,8061776,Salvia,Private room,
2759581,Old-town 2 room flat with river view,10651736,Alberto,Entire home/apt,-120
2785626,Panoramic View of Zurich with 30sqm Terrace,10250756,Julie,Entire home/apt,
2836559,Apartment in best location!,7014021,Jonathan,Entire home/apt,785
2869081,Letzigrund Blue 4 Apartment,12886487,Stephanie,Entire home/apt,104
2869105,Letzigrund Green 4 Apartment,12886487,Stephanie,Entire home/apt,104
2869130,Letzigrund Yellow 5 Apartment,12886487,Stephanie,Entire home/apt,
2920505,"Studio ""Doerfli 1"" in the heart of Zurich",12886487,Stephanie,Entire home/apt,166
2920543,"Apartment ""Doerfli 3"" in the Old Town",12886487,Stephanie,Entire home/apt,162
2920590,ZH Bellevue 3 - HITrental Apartment Zürich,12886487,Stephanie,Entire home/apt,184
2920698,3 room apartment in a historic old town,12886487,Stephanie,Entire home/apt,-250
2920742,Gasse 3 - Charming 1 room apartment,12886487,Stephanie,Entire home/apt,152
2920780,Hof 2 - Charming 1 room Studio,12886487,Stephanie,Entire home/apt,135
2920806,Gasse 2 - Charming 1 room apartment,12886487,Stephanie,Entire home/apt,152
2962635,Hof 3 - Charming 1 room Studio,12886487,Stephanie,Entire home/apt,134
3209659,"Stadt Zürich , freundliches Zimmer (3)",19610180,Rossana,Private room,58
3470221,"Studio Penthouse Apartment, Kieselgasse",17484617,Marie,Entire home/apt,-187
3470708,"1-Bedroom Apartment Suite, Kieselgasse",17484617,Marie,Entire home/apt,262
3483175,"2-Bedroom Family Apartment, Kieselgasse",17484617,Marie,Entire home/apt,389
3487718,"1-Bedroom Apartment, Kieselgasse",17484617,Marie,Entire home/apt,239
3631629,Central location next to the lake 2 room flat,18306611,Natalia,Entire home/apt,116
3673115,Living in the heart of Zürich.,6225442,Gian,Private room,
3680581,Bright Airy Apt on Lake Zurich,4800368,Lizanne,Entire home/apt,
3681861,A 1re 2 bedroom Zürich downtown,18715465,Joy,Entire home/apt,197
3682024,"A 3re, 2 bed room Zürich downtown",18715465,Joy,Entire home/apt,170
3682156,A 4re-2BR cozy city roof ap.,18715465,Joy,Entire home/apt,191
3683319,B4  3bedroom in the heart of Zurich,18715465,Joy,Entire home/apt,
3813905,Stadt Zürich-kleines Studio,19610180,Rossana,Entire home/apt,69
3814983,B EG 3 bedroom 8008 Zürich-downtown,18715465,Joy,Entire home/apt,275
3857206,Stylish apartment in the centre of Zurich.,19898314,,Entire home/apt,147
3872298,beautiful luxury apartment...,20002991,Mars,Entire home/apt,103
3890636,Stadt Zürich -Studio beim Albisriederplatz 4507,19610180,Rossana,Entire home/apt,115
3941358,Trendy Studio at the best area !,13570663,Christian Robert,Entire home/apt,123
4145732,"Stadt Zürich-4101 helles Studio,Albisriederplatz",19610180,Rossana,Entire home/apt,111
4195239,"Studio Apartment, Forchstrasse",17484617,Marie,Entire home/apt,145
4201898,"2-Bedroom Family Apartment, Forchstrasse",17484617,Marie,Entire home/apt,-298
4202724,"Studio Apartment, Lindenstrasse",17484617,Marie,Entire home/apt,198
4222482,"1-Bedroom Apartment Suite, Lindenstrasse",17484617,Marie,Entire home/apt,267
4222657,"2-Bedroom Family Apartment, Lindenstrasse",17484617,Marie,Entire home/apt,412
4222997,"1-Bedroom Apartment, Nordstrasse",17484617,Marie,Entire home/apt,226
4246456,Mini-Musiker-Zimmer,21714165,Katie,Private room,54
4281532,"1-Bedroom Apartment Suite, Lindenstrasse",17484617,Marie,Entire home/apt,272
4290893,"1-Bedroom Apartment, Nordstrasse",17484617,Marie,Entire home/apt,226
4298448,Central to lake and train station,9068489,Duygu,Private room,-119
4298896,"Central garden flat, 3 bedrooms",9068489,Duygu,Private room,315
4315829,Double bed room 2 Top of Zurich,22404783,,Private room,76
4368558,Modern spacious apartment,17455976,Simon,Entire home/apt,102
4381761,Style&Large @Hip-Party-Area with HomeCinema.,1926619,Stefan,Entire home/apt,955
4413887,Zurich apartment,22911763,Greg,Entire home/apt,
4425602,80 sqm. Your Urban Sanctuary. 10min to city centre,1006097,Franziska,Entire home/apt,111
4425760,"Spacious, centrally located flat",2963607,Sandra,Entire home/apt,140
4460481,Cozy room & Sunny balcony in Zurich,12051025,Churyon,Private room,
4544512,1BR executive apartment Mainau 5,23561865,Dimi,Entire home/apt,207
4666089,Modern & cosy room in the city center,2598633,Antonio,Private room,190
4666318,"Bright and charming, in Zürich",3477312,Gisela,Entire home/apt,200
4748384,"1 Bedroom Serviced Apartment, Unterstrass",24506494,EMA House,Entire home/apt,293
4796892,Musiker-Unterkunft,21714165,Katie,Private room,58
4797373,Wirtewohnung,21714165,Katie,Entire home/apt,162
4850468,Cosy 3.5 room apartment in Zurich,720175,Patrick,Entire home/apt,
4921250,charming flat in excellent location,25347589,Patricia,Entire home/apt,195
5000434,fully furnished flat / nearby ETH + Airport + City,7926514,Ruben,Entire home/apt,65
5055921,3BR city flat near Bellevue! SF6,23561865,Dimi,Entire home/apt,370
5081849,"Neues, zentral gelegenes Studio mit Küche & Dusche",3595908,Peter,Entire home/apt,109
5168505,Double room 1 Top of Zurich,22404783,,Private room,76
5172569,Super comfy 20m2 Room in Zürich :],13576504,Julia,Private room,54
5208392,"1-Bedroom Apartment, Nordstrasse",17484617,Marie,Entire home/apt,187
5209282,Charming studio / old town UZ12,23561865,Dimi,Entire home/apt,-228
5210463,"1-Bedroom Apartment Suite, Lindenstrasse",17484617,Marie,Entire home/apt,239
5267443,Family apartment in Zurich,3845079,Tilke,Entire home/apt,
5349018,"1-Bedroom Apartment, Kieselgasse",17484617,Marie,Entire home/apt,200
5349345,"1-Bedroom Apartment, Kieselgasse",17484617,Marie,Entire home/apt,200
5350564,"Studio Apartment, Forchstrasse",17484617,Marie,Entire home/apt,164
5350881,"Studio Apartment, Forchstrasse",17484617,Marie,Entire home/apt,115
